start,end,actual
00:00,01:00,92.77064516129032
01:00,02:00,92.72483870967741
02:00,03:00,93.13935483870968
03:00,04:00,97.35161290322581
04:00,05:00,108.06838709677419
05:00,06:00,124.89903225806451
06:00,07:00,135.00032258064516
07:00,08:00,133.42967741935482
08:00,09:00,124.86645161290323
09:00,10:00,117.52935483870968
10:00,11:00,111.41806451612904
11:00,12:00,109.49193548387096
12:00,13:00,110.1983870967742
13:00,14:00,114.8383870967742
14:00,15:00,124.87774193548387
15:00,16:00,140.41774193548386
16:00,17:00,155.05774193548388
17:00,18:00,162.4058064516129
18:00,19:00,155.7525806451613
19:00,20:00,144.61290322580646
20:00,21:00,131.1348387096774
21:00,22:00,115.1741935483871
22:00,23:00,97.10290322580646
23:00,00:00,93.32064516129033
