start,end,actual
00:00,01:00,107.85300000000001
01:00,02:00,105.91333333333334
02:00,03:00,105.73
03:00,04:00,106.20933333333332
04:00,05:00,107.79266666666666
05:00,06:00,119.515
06:00,07:00,142.54466666666667
07:00,08:00,155.50733333333335
08:00,09:00,154.58466666666666
09:00,10:00,148.575
10:00,11:00,143.90200000000002
11:00,12:00,141.108
12:00,13:00,142.579
13:00,14:00,147.035
14:00,15:00,155.56333333333333
15:00,16:00,166.999
16:00,17:00,174.79500000000002
17:00,18:00,178.28833333333333
18:00,19:00,174.02366666666666
19:00,20:00,168.21666666666667
20:00,21:00,158.92766666666665
21:00,22:00,142.726
22:00,23:00,129.49966666666666
23:00,00:00,115.68133333333334
