task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,cpu10,c5/6bc308,nf-c56bc308d98a55942bbcbf7cb37bd831,preprocessing:generateAnalysisMask,-,preprocessing:generateAnalysisMask,COMPLETED,0,-,davidfrantz/force:3.6.5,11,1200000,-,1073741824,1,1704378057119,1704378057000,1704378059000,1881,959,-,922.8,0.0,6623232,37642240,6627328,37748736,69930504,3445921,26464,2195,643072,5033984,29,0,/input/data/work/c5/6bc308d98a55942bbcbf7cb37bd831,true,-
2,cpu08,c9/84a18f,nf-c984a18f7915c2d814f29af490c9bbfd,preprocessing:generateTileAllowList,-,preprocessing:generateTileAllowList,COMPLETED,0,-,davidfrantz/force:3.6.5,4,1200000,-,1073741824,1,1704378057164,1704378057000,1704378062000,4836,1573,-,1233.0,0.0,28917760,105226240,28950528,105332736,71259184,4482958,27706,2425,839680,6221824,475,36,/input/data/work/c9/84a18f7915c2d814f29af490c9bbfd,true,-
57,cpu08,f9/5490ae,nf-f95490aea077d4679ff328fc53c3fd2e,preprocessing:preprocess,LT05_L1TP_181035_19930511_20180218_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19930511_20180218_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378067887,1704378068000,1704378135000,67113,66439,-,108.8,1.7,2298253312,3190648832,2889977856,3642728448,171394288,37175,11718,1189,134004736,65536,1070,1599,/input/data/work/f9/5490aea077d4679ff328fc53c3fd2e,true,-
9,cpu01,ef/058699,nf-ef05869983914e1bd984aecdbd0fda27,preprocessing:preprocess,LT05_L1TP_181035_19990629_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19990629_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378066990,1704378067000,1704378187000,120010,119567,-,307.1,3.2,4379230208,8278667264,4379230208,8278720512,115540964,55319376,11625,3086,76701696,55607296,898,4464,/input/data/work/ef/05869983914e1bd984aecdbd0fda27,true,-
14,cpu01,0a/ea8908,nf-0aea89089b78dad53a54b52fc62ba758,preprocessing:preprocess,LT05_L1TP_181035_19920711_20180619_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19920711_20180619_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378067171,1704378068000,1704378187000,119829,118708,-,301.3,3.2,4370845696,8270409728,4370845696,8270462976,110886498,53375064,11438,3026,72359936,53673984,915,4490,/input/data/work/0a/ea89089b78dad53a54b52fc62ba758,true,-
29,cpu01,e7/cc2fbf,nf-e7cc2fbfef63437240c0638fd4b117c7,preprocessing:preprocess,LE07_L1TP_181035_20051027_20170112_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20051027_20170112_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378067552,1704378068000,1704378187000,119448,118476,-,298.3,3.3,4433022976,8349331456,4433022976,8349384704,120033013,51713023,12196,2991,80834560,52006912,1057,4379,/input/data/work/e7/cc2fbfef63437240c0638fd4b117c7,true,-
26,cpu02,a7/6b970e,nf-a76b970ea1c2771bbb7c7ebc83c02ceb,preprocessing:preprocess,LT05_L1TP_181035_19940615_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19940615_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378067450,1704378068000,1704378192000,124550,123972,-,253.2,3.2,4372951040,8270221312,4372951040,8270274560,125434557,60663356,12063,3250,87842816,60977152,1189,4093,/input/data/work/a7/6b970ea1c2771bbb7c7ebc83c02ceb,true,-
30,cpu01,7b/5c2b94,nf-7b5c2b943ca907a95d06708cf8800aa8,preprocessing:preprocess,LT05_L1TP_181035_19900722_20180210_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19900722_20180210_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378067828,1704378068000,1704378195000,127172,122132,-,293.5,3.2,4339617792,8232435712,4339617792,8232488960,112199337,46702663,11526,2824,74194944,46997504,1277,4595,/input/data/work/7b/5c2b943ca907a95d06708cf8800aa8,true,-
41,cpu03,4e/32c435,nf-4e32c435c61352eb44e849f8d3a719b2,preprocessing:preprocess,LE07_L1TP_181035_20040922_20170118_01_T1,preprocessing:preprocess (LE07_L1TP_181035_20040922_20170118_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378068211,1704378069000,1704378197000,128789,127307,-,258.7,3.3,4416696320,8327774208,4416696320,8327827456,102404478,47489095,11352,2852,74788864,47800320,1621,4261,/input/data/work/4e/32c435c61352eb44e849f8d3a719b2,true,-
50,cpu01,21/f12115,nf-21f1211565fe6fa76b2f29bc0d9551fa,preprocessing:preprocess,LT05_L1TP_181035_19890820_20170808_01_T1,preprocessing:preprocess (LT05_L1TP_181035_19890820_20170808_01_T1),COMPLETED,0,-,davidfrantz/force:3.6.5,4,7200000,-,5109710848,1,1704378069627,1704378070000,1704378195000,125373,122753,-,293.9,3.2,4335935488,8225513472,4335935488,8225566720,110948578,52056258,11370,2988,72818688,52355072,981,4832,/input/data/work/21/f1211565fe6fa76b2f29bc0d9551fa,true,-
